,企业代号,发票号码,开票日期,购方单位代号,金额,税额,价税合计,发票状态
127303,E50,3420544,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127304,E50,3420551,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127305,E50,3420541,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127306,E50,3420542,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127307,E50,3420543,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127308,E50,3420545,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127309,E50,3420546,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127310,E50,3420547,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127311,E50,3420548,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127312,E50,3420549,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127313,E50,3420550,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127314,E50,3420552,2017/7/3,B01134,16359.22,490.78,16850.0,有效发票
127315,E50,3420539,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127316,E50,3420538,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127317,E50,3420540,2017/7/3,B01134,97087.38,2912.62,100000.0,有效发票
127318,E50,4678224,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127319,E50,4678225,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127320,E50,4678226,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127321,E50,4678227,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127322,E50,4678228,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127323,E50,4678229,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127324,E50,4678230,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127325,E50,4678231,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127326,E50,4678232,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127327,E50,4678233,2017/7/19,B01134,97087.38,2912.62,100000.0,有效发票
127328,E50,4678234,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127329,E50,4678235,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127330,E50,4678236,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127331,E50,4678237,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127332,E50,4678238,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127333,E50,5900498,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127334,E50,5900499,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127335,E50,5900500,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127336,E50,5900501,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127337,E50,5900502,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127338,E50,5900503,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127339,E50,5900504,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127340,E50,5900505,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127341,E50,5900506,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127342,E50,5900507,2017/8/8,B01134,97087.38,2912.62,100000.0,有效发票
127343,E50,5901490,2017/8/9,B01134,97087.38,2912.62,100000.0,有效发票
127344,E50,5901491,2017/8/9,B01134,72153.4,2164.6,74318.0,有效发票
127345,E50,10221338,2018/1/9,B01419,97087.38,2912.62,100000.0,有效发票
127346,E50,10221335,2018/1/9,B01419,97087.38,2912.62,100000.0,有效发票
127347,E50,10221336,2018/1/9,B01419,97087.38,2912.62,100000.0,有效发票
127348,E50,10221337,2018/1/9,B01419,97087.38,2912.62,100000.0,有效发票
127349,E50,10221344,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127350,E50,10221345,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127351,E50,10221346,2018/11/19,B00583,45388.72,1361.66,46750.38,有效发票
127352,E50,10221339,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127353,E50,10221340,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127354,E50,10221341,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127355,E50,10221342,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127356,E50,10221343,2018/11/19,B00583,97087.38,2912.62,100000.0,有效发票
127357,E50,2982353,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127358,E50,2982354,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127359,E50,2982356,2018/12/9,B00583,49376.16,1481.28,50857.44,作废发票
127360,E50,2982355,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127361,E50,2982350,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127362,E50,2982351,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127363,E50,2982352,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127364,E50,10221347,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127365,E50,10221348,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127366,E50,10221349,2018/12/9,B00583,97087.38,2912.62,100000.0,作废发票
127367,E50,2982357,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127368,E50,2982358,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127369,E50,2982359,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127370,E50,2982360,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127371,E50,2982361,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127372,E50,2982362,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127373,E50,2982363,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127374,E50,2982364,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127375,E50,6720035,2018/12/11,B00583,97087.38,2912.62,100000.0,有效发票
127376,E50,6720036,2018/12/11,B00583,49376.16,1481.28,50857.44,有效发票
127377,E50,5901492,2018/12/14,B01129,97087.38,2912.62,100000.0,作废发票
127378,E50,5901493,2018/12/14,B01129,3247.86,97.44,3345.3,作废发票
127379,E50,5901494,2018/12/14,B01129,97087.38,2912.62,100000.0,作废发票
127380,E50,7858278,2018/12/14,B01129,5189.15,155.67,5344.82,作废发票
127381,E50,7858280,2018/12/21,B01129,3247.86,97.44,3345.3,作废发票
127382,E50,7858281,2018/12/21,B01129,97087.38,2912.62,100000.0,作废发票
127383,E50,7858282,2018/12/21,B01129,5189.15,155.67,5344.82,作废发票
127384,E50,7858283,2018/12/21,B01129,97087.38,2912.62,100000.0,作废发票
127385,E50,7858284,2018/12/21,B01129,3247.86,97.44,3345.3,作废发票
127386,E50,7858285,2018/12/21,B01129,97087.38,2912.62,100000.0,作废发票
127387,E50,7858279,2018/12/21,B01129,97087.38,2912.62,100000.0,作废发票
127388,E50,6720040,2018/12/23,B01419,97087.38,2912.62,100000.0,有效发票
127389,E50,6720037,2018/12/23,B01419,97087.38,2912.62,100000.0,有效发票
127390,E50,6720038,2018/12/23,B01419,97087.38,2912.62,100000.0,有效发票
127391,E50,6720039,2018/12/23,B01419,97087.38,2912.62,100000.0,有效发票
127392,E50,6720041,2018/12/23,B01419,97087.38,2912.62,100000.0,有效发票
127393,E50,6724392,2018/12/24,B01419,97087.38,2912.62,100000.0,有效发票
127394,E50,6724393,2018/12/24,B01419,97087.38,2912.62,100000.0,有效发票
127395,E50,6724394,2018/12/24,B01419,48543.69,1456.31,50000.0,有效发票
127396,E50,7858286,2019/1/9,B01129,97087.38,2912.62,100000.0,有效发票
127397,E50,7858287,2019/1/9,B01129,5189.15,155.67,5344.82,有效发票
127398,E50,7858288,2019/1/9,B01129,97087.38,2912.62,100000.0,有效发票
127399,E50,7858289,2019/1/9,B01129,3247.86,97.44,3345.3,有效发票
127400,E50,7858290,2019/1/9,B01129,86816.0,2604.48,89420.48,有效发票
127401,E50,34361612,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127402,E50,34460881,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127403,E50,34460882,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127404,E50,34460883,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127405,E50,34460884,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127406,E50,34460885,2019/1/18,B00583,49376.16,1481.28,50857.44,有效发票
127407,E50,34460880,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127408,E50,34442324,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127409,E50,34442325,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127410,E50,34442326,2019/1/18,B00583,-45388.72,-1361.66,-46750.38,有效发票
127411,E50,34442327,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127412,E50,34442328,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127413,E50,34361610,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127414,E50,34361611,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127415,E50,34442319,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127416,E50,34442320,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127417,E50,34442321,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127418,E50,34442322,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127419,E50,34442323,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127420,E50,34442329,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127421,E50,34442330,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127422,E50,34442331,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127423,E50,34361613,2019/1/18,B00583,-97087.38,-2912.62,-100000.0,有效发票
127424,E50,34361614,2019/1/18,B00583,-49376.16,-1481.28,-50857.44,有效发票
127425,E50,34361615,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127426,E50,34361616,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127427,E50,34361617,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127428,E50,34361618,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127429,E50,34361624,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127430,E50,34361625,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127431,E50,34361626,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127432,E50,34361619,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127433,E50,34361620,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127434,E50,34361621,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127435,E50,34361622,2019/1/18,B00583,45388.72,1361.66,46750.38,有效发票
127436,E50,34361623,2019/1/18,B00583,97087.38,2912.62,100000.0,有效发票
127437,E50,7858291,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127438,E50,7858292,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127439,E50,7026103,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127440,E50,7026100,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127441,E50,7026101,2019/1/21,B00349,90909.09,9090.91,100000.0,作废发票
127442,E50,7026102,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127443,E50,7026099,2019/1/21,B00349,90909.09,9090.91,100000.0,有效发票
127444,E50,7026104,2019/1/22,B00349,90909.09,9090.91,100000.0,有效发票
127445,E50,7026105,2019/1/22,B00349,90909.09,9090.91,100000.0,有效发票
127446,E50,7026106,2019/1/22,B00349,65454.55,6545.45,72000.0,有效发票
127447,E50,7026107,2019/4/6,B01129,68254.88,2047.65,70302.53,有效发票
127448,E50,7026114,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
127449,E50,7026115,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
127450,E50,7026116,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
127451,E50,7026117,2019/4/23,B00349,46322.7,4169.04,50491.74,有效发票
127452,E50,7026118,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
127453,E50,7026119,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
127454,E50,7026120,2019/4/23,B00349,43304.16,3897.37,47201.53,有效发票
127455,E50,7026121,2019/4/23,B00349,34935.3,3144.18,38079.48,有效发票
127456,E50,7026108,2019/4/23,B00349,91743.12,8256.88,100000.0,有效发票
