,企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
192947,E188,39536714,2016/10/8,C04556,14273.5,2426.5,16700.0,有效发票
192948,E188,7988394,2016/10/8,C13186,4038.46,686.54,4725.0,有效发票
192949,E188,4207096,2016/10/8,C20484,94906.84,16134.16,111041.0,有效发票
192950,E188,5150471,2016/10/10,C04158,1712.26,102.74,1815.0,有效发票
192951,E188,2723023,2016/10/11,C12566,1921.62,211.38,2133.0,有效发票
192952,E188,619361,2016/10/11,C19190,3742.6,636.24,4378.84,有效发票
192953,E188,619360,2016/10/11,C19190,2672.59,454.35,3126.94,作废发票
192954,E188,4210750,2016/10/11,C20404,42777.76,7272.24,50050.0,有效发票
192955,E188,2621252,2016/10/12,C12212,733.02,43.98,777.0,有效发票
192956,E188,619377,2016/10/12,C19190,2672.6,454.34,3126.94,有效发票
192957,E188,4210555,2016/10/12,C20393,70341.97,11958.03,82300.0,有效发票
192958,E188,38096864,2016/10/14,C04784,50769.23,8630.77,59400.0,有效发票
192959,E188,2621801,2016/10/14,C12212,659.43,39.57,699.0,有效发票
192960,E188,1566130,2016/10/15,C22635,56034.19,9525.81,65560.0,有效发票
192961,E188,2973302,2016/10/18,C13284,10085.46,1714.54,11800.0,有效发票
192962,E188,2412236,2016/10/18,C16067,4700.85,799.15,5500.0,有效发票
192963,E188,4565404,2016/10/18,C20498,4038.46,686.54,4725.0,有效发票
192964,E188,38096938,2016/10/19,C04784,50769.23,8630.77,59400.0,有效发票
192965,E188,2502989,2016/10/19,C08135,1858.49,111.51,1970.0,有效发票
192966,E188,2683821,2016/10/19,C17297,1572.65,267.35,1840.0,有效发票
192967,E188,581154,2016/10/19,C21796,2871.8,488.2,3360.0,有效发票
192968,E188,2594707,2016/10/21,C07991,5025.64,854.36,5880.0,有效发票
192969,E188,3154537,2016/10/21,C15403,1923.08,326.92,2250.0,有效发票
192970,E188,6192496,2016/10/21,C20385,95726.5,16273.5,112000.0,有效发票
192971,E188,6192497,2016/10/21,C20385,95726.5,16273.5,112000.0,有效发票
192972,E188,6192498,2016/10/21,C20385,82905.98,14094.02,97000.0,有效发票
192973,E188,1264072,2016/10/22,C14180,21623.93,3676.07,25300.0,有效发票
192974,E188,857658,2016/10/24,C05083,342564.1,58235.9,400800.0,有效发票
192975,E188,619530,2016/10/24,C19190,1473.5,250.5,1724.0,有效发票
192976,E188,2603772,2016/10/25,C08845,43940.33,7469.86,51410.19,有效发票
192977,E188,2561673,2016/10/25,C14837,4769.23,810.77,5580.0,有效发票
192978,E188,4580493,2016/10/25,C20483,100854.7,17145.3,118000.0,有效发票
192979,E188,4207103,2016/10/25,C20484,98844.44,16803.56,115648.0,有效发票
192980,E188,2150697,2016/10/25,C20653,141025.64,23974.36,165000.0,有效发票
192981,E188,1668658,2016/10/26,C13172,25213.68,4286.32,29500.0,有效发票
192982,E188,177269,2016/10/27,C05305,2946.6,88.4,3035.0,有效发票
192983,E188,176265,2016/10/27,C05307,2436.89,73.11,2510.0,有效发票
192984,E188,7876057,2016/10/27,C15145,3589.74,610.26,4200.0,有效发票
192985,E188,335443,2016/10/27,C16041,6468.38,1099.62,7568.0,有效发票
192986,E188,6236634,2016/10/27,C20430,8888.89,1511.11,10400.0,有效发票
192987,E188,6236635,2016/10/27,C20430,9512.82,1617.18,11130.0,有效发票
192988,E188,1566157,2016/10/27,C22635,31623.93,5376.07,37000.0,有效发票
192989,E188,2664081,2016/10/28,C07314,1162.39,197.61,1360.0,有效发票
192990,E188,1969108,2016/10/28,C08204,4245.28,254.72,4500.0,有效发票
192991,E188,2627342,2016/10/29,C13461,20950.43,3561.57,24512.0,有效发票
192992,E188,2625874,2016/10/31,C12212,777.36,46.64,824.0,有效发票
192993,E188,1668688,2016/11/1,C13172,2741.99,466.14,3208.13,有效发票
192994,E188,3501492,2016/11/1,C16644,7487.18,1272.82,8760.0,有效发票
192995,E188,3501493,2016/11/1,C16644,4434.87,753.93,5188.8,有效发票
192996,E188,807087,2016/11/1,C21341,32464.95,5519.05,37984.0,有效发票
192997,E188,314771,2016/11/2,C13167,2756.41,468.59,3225.0,有效发票
192998,E188,1565362,2016/11/3,C08857,2008.55,341.45,2350.0,有效发票
192999,E188,1740879,2016/11/3,C18465,2735.04,464.96,3200.0,有效发票
193000,E188,2248603,2016/11/4,C13186,4038.46,686.54,4725.0,有效发票
193001,E188,2615126,2016/11/6,C12212,413.21,24.79,438.0,有效发票
193002,E188,2615824,2016/11/8,C12212,83.02,4.98,88.0,有效发票
193003,E188,2615825,2016/11/8,C12212,350.94,21.06,372.0,有效发票
193004,E188,2731148,2016/11/8,C12566,1272.97,140.03,1413.0,有效发票
193005,E188,4582562,2016/11/8,C20484,97204.27,16524.73,113729.0,有效发票
193006,E188,3182185,2016/11/8,C20505,5752.22,977.88,6730.1,有效发票
193007,E188,56907130,2016/11/10,C18015,902.56,153.44,1056.0,有效发票
193008,E188,3158532,2016/11/10,C20488,9230.77,1569.23,10800.0,有效发票
193009,E188,2632965,2016/11/11,C13186,4279.61,128.39,4408.0,有效发票
193010,E188,3562977,2016/11/11,C14002,10872.0,652.32,11524.32,有效发票
193011,E188,2012027,2016/11/11,C22635,31623.93,5376.07,37000.0,有效发票
193012,E188,3629482,2016/11/14,C08135,1164.15,69.85,1234.0,有效发票
193013,E188,922866,2016/11/15,C12201,13465.82,2289.18,15755.0,有效发票
193014,E188,6196116,2016/11/15,C20385,81846.15,13913.85,95760.0,有效发票
193015,E188,6196117,2016/11/15,C20385,81846.15,13913.85,95760.0,有效发票
193016,E188,6196118,2016/11/15,C20385,81846.15,13913.85,95760.0,有效发票
193017,E188,6196119,2016/11/15,C20385,77538.46,13181.54,90720.0,有效发票
193018,E188,6335050,2016/11/16,C20393,57393.35,9756.65,67150.0,有效发票
193019,E188,3086797,2016/11/17,C05976,53846.15,9153.85,63000.0,有效发票
193020,E188,2646964,2016/11/17,C09929,2564.1,435.9,3000.0,有效发票
193021,E188,39571375,2016/11/18,C04784,117948.72,20051.28,138000.0,有效发票
193022,E188,2674324,2016/11/18,C17295,3760.68,639.32,4400.0,有效发票
193023,E188,2012052,2016/11/18,C22635,47435.9,8064.1,55500.0,有效发票
193024,E188,71748919,2016/11/21,C01941,454.7,77.3,532.0,有效发票
193025,E188,4580912,2016/11/21,C20483,118974.36,20225.64,139200.0,有效发票
193026,E188,6176200,2016/11/22,C05083,149572.65,25427.35,175000.0,有效发票
193027,E188,2663744,2016/11/22,C07991,9025.64,1534.36,10560.0,有效发票
193028,E188,2612577,2016/11/22,C08845,63824.22,10850.12,74674.34,有效发票
193029,E188,2415816,2016/11/22,C11862,3931.62,668.38,4600.0,有效发票
193030,E188,2618496,2016/11/22,C12212,259.43,15.57,275.0,有效发票
193031,E188,6176221,2016/11/23,C05083,73504.27,12495.73,86000.0,有效发票
193032,E188,533274,2016/11/23,C19190,1304.4,221.75,1526.15,有效发票
193033,E188,2563163,2016/11/24,C17294,38974.36,6625.64,45600.0,有效发票
193034,E188,2563165,2016/11/24,C17294,35128.21,5971.79,41100.0,有效发票
193035,E188,2071004,2016/11/24,C17295,2564.1,435.9,3000.0,有效发票
193036,E188,14821559,2016/11/24,C18696,9433.96,566.04,10000.0,有效发票
193037,E188,14821560,2016/11/24,C18696,9433.96,566.04,10000.0,有效发票
193038,E188,14821561,2016/11/24,C18696,9433.96,566.04,10000.0,有效发票
193039,E188,14821562,2016/11/24,C18696,9433.96,566.04,10000.0,作废发票
193040,E188,14821563,2016/11/24,C18696,9433.96,566.04,10000.0,有效发票
193041,E188,14821564,2016/11/24,C18696,9245.28,554.72,9800.0,有效发票
193042,E188,2619914,2016/11/26,C12212,419.81,25.19,445.0,有效发票
193043,E188,3983329,2016/11/28,C05698,31630.26,5377.14,37007.4,有效发票
193044,E188,4588049,2016/11/28,C20484,98448.63,16736.27,115184.9,有效发票
193045,E188,2012059,2016/11/28,C22635,57264.96,9735.04,67000.0,有效发票
193046,E188,4861394,2016/11/30,C09960,1709.4,290.6,2000.0,有效发票
193047,E188,3664539,2016/12/1,C06086,150.94,9.06,160.0,有效发票
193048,E188,2711684,2016/12/5,C15145,3589.74,610.26,4200.0,有效发票
193049,E188,2644950,2016/12/6,C13461,43760.68,7439.32,51200.0,作废发票
193050,E188,2644951,2016/12/6,C13461,43760.68,7439.32,51200.0,有效发票
193051,E188,912929,2016/12/8,C13217,26504.85,795.15,27300.0,有效发票
193052,E188,247235,2016/12/9,C12006,1264.11,214.89,1479.0,有效发票
193053,E188,189124,2016/12/9,C12566,2254.05,247.95,2502.0,有效发票
193054,E188,3610454,2016/12/11,C07256,2429.69,413.05,2842.74,有效发票
193055,E188,3369983,2016/12/11,C15060,4001.71,680.29,4682.0,有效发票
