,企业代号,发票号码,开票日期,购方单位代号,金额,税额,价税合计,发票状态
287657,E304,21318475,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287658,E304,21318476,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287659,E304,21318477,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287660,E304,31311106,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287661,E304,31311107,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287662,E304,31311105,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287663,E304,31311104,2016/12/1,D12099,7692.31,1307.69,9000.0,有效发票
287664,E304,4636481,2016/12/2,D12099,7692.31,1307.69,9000.0,有效发票
287665,E304,2584658,2016/12/2,D13750,6551.28,1113.72,7665.0,有效发票
287666,E304,2584660,2016/12/7,D08689,8205.12,1394.88,9600.0,有效发票
287667,E304,4500652,2016/12/7,D08689,5747.86,977.14,6725.0,有效发票
287668,E304,2584659,2016/12/7,D13750,7282.05,1237.95,8520.0,有效发票
287669,E304,4500653,2016/12/13,D07161,8299.13,1410.87,9710.0,有效发票
287670,E304,4500654,2016/12/15,D17577,820.51,139.49,960.0,有效发票
287671,E304,4500656,2016/12/22,D04409,9230.77,1569.23,10800.0,作废发票
287672,E304,4500655,2016/12/22,D04409,9824.79,1670.21,11495.0,作废发票
287673,E304,4500657,2016/12/22,D04409,9230.77,1569.23,10800.0,作废发票
287674,E304,4500658,2016/12/22,D04409,8232.47,1399.53,9632.0,作废发票
287675,E304,4500659,2016/12/22,D07592,8615.38,1464.62,10080.0,有效发票
287676,E304,4500660,2016/12/22,D07592,8658.13,1471.87,10130.0,有效发票
287677,E304,4500661,2016/12/22,D07592,9921.02,1686.58,11607.6,有效发票
287678,E304,4500662,2016/12/26,D04475,7999.14,1359.86,9359.0,作废发票
287679,E304,4500663,2016/12/26,D04475,9112.82,1549.18,10662.0,作废发票
287680,E304,4500664,2016/12/26,D04475,9584.6,1629.4,11214.0,作废发票
287681,E304,4500665,2016/12/26,D04475,9822.22,1669.78,11492.0,作废发票
287682,E304,4500666,2016/12/27,D16892,8525.64,1449.36,9975.0,有效发票
287683,E304,4500667,2016/12/27,D16892,4320.52,734.48,5055.0,作废发票
287684,E304,4500668,2016/12/27,D16892,4076.93,693.07,4770.0,有效发票
287685,E304,1317491,2017/1/5,D17236,1942.73,330.27,2273.0,有效发票
287686,E304,1317492,2017/1/8,D08689,7863.24,1336.76,9200.0,有效发票
287687,E304,1317493,2017/1/8,D08689,6538.46,1111.54,7650.0,有效发票
287688,E304,1381218,2017/1/10,D13750,1861.54,316.46,2178.0,有效发票
287689,E304,1381219,2017/1/10,D13750,3521.36,598.64,4120.0,有效发票
287690,E304,1381220,2017/1/11,D07161,4658.11,791.89,5450.0,有效发票
287691,E304,1381221,2017/1/11,D07161,6658.12,1131.88,7790.0,有效发票
287692,E304,4636482,2017/1/11,D39500,2222.22,377.78,2600.0,作废发票
287693,E304,1381222,2017/1/13,D13668,8119.65,1380.35,9500.0,有效发票
287694,E304,1381223,2017/1/13,D13668,4700.85,799.15,5500.0,有效发票
287695,E304,1381224,2017/1/14,D15038,440.17,74.83,515.0,有效发票
287696,E304,1381225,2017/1/16,D17577,2297.44,390.56,2688.0,有效发票
287697,E304,1381226,2017/2/7,D08689,7452.99,1267.01,8720.0,有效发票
287698,E304,4636483,2017/2/7,D39501,2222.22,377.78,2600.0,有效发票
287699,E304,1381227,2017/2/8,D16892,8525.64,1449.36,9975.0,有效发票
287700,E304,1381228,2017/2/8,D16892,7793.59,1324.91,9118.5,有效发票
287701,E304,1381230,2017/2/13,D07161,8961.53,1523.47,10485.0,有效发票
287702,E304,1381229,2017/2/13,D07161,8282.05,1407.95,9690.0,有效发票
287703,E304,1381231,2017/2/14,D13750,2632.49,447.51,3080.0,有效发票
287704,E304,1381232,2017/2/14,D13750,1823.08,309.92,2133.0,有效发票
287705,E304,1381233,2017/2/22,D27173,9230.76,1569.24,10800.0,有效发票
287706,E304,1381234,2017/2/22,D27173,7863.25,1336.75,9200.0,有效发票
287707,E304,1381235,2017/2/25,D16892,5553.85,944.15,6498.0,有效发票
287708,E304,1381236,2017/2/25,D16892,6737.18,1145.32,7882.5,有效发票
287709,E304,5088604,2017/3/1,D01627,1495.73,254.27,1750.0,有效发票
287710,E304,1381237,2017/3/1,D20487,3418.8,581.2,4000.0,作废发票
287711,E304,5088603,2017/3/1,D20487,3418.8,581.2,4000.0,有效发票
287712,E304,5088605,2017/3/8,D01627,2777.78,472.22,3250.0,有效发票
287713,E304,5088606,2017/3/9,D17547,4005.13,680.87,4686.0,有效发票
287714,E304,5088607,2017/3/9,D17547,6323.08,1074.92,7398.0,有效发票
287715,E304,5088608,2017/3/10,D08689,5064.1,860.9,5925.0,有效发票
287716,E304,5088609,2017/3/10,D20836,4092.98,695.81,4788.79,作废发票
287717,E304,5088610,2017/3/10,D20836,4092.98,695.81,4788.79,有效发票
287718,E304,5088611,2017/3/17,D01627,1068.38,181.62,1250.0,有效发票
287719,E304,4636484,2017/3/20,D15495,2811.96,478.04,3290.0,作废发票
287720,E304,4636485,2017/3/20,D15495,2811.96,478.04,3290.0,作废发票
287721,E304,5088612,2017/3/20,D16359,441.03,74.97,516.0,有效发票
287722,E304,5088613,2017/3/21,D09297,7446.15,1265.85,8712.0,有效发票
287723,E304,5088614,2017/3/21,D09297,4871.79,828.21,5700.0,有效发票
287724,E304,5088615,2017/3/22,D07161,4782.04,812.96,5595.0,有效发票
287725,E304,5088616,2017/3/22,D07161,5320.51,904.49,6225.0,有效发票
287726,E304,5088617,2017/3/23,D12226,1042.73,177.27,1220.0,有效发票
287727,E304,4636486,2017/4/1,D17395,1061.54,180.46,1242.0,有效发票
287728,E304,5088618,2017/4/1,D17547,6837.6,1162.4,8000.0,有效发票
287729,E304,5088620,2017/4/5,D08755,367.52,62.48,430.0,有效发票
287730,E304,4636488,2017/4/5,D15495,2811.97,478.03,3290.0,有效发票
287731,E304,5088619,2017/4/5,D17236,1803.42,306.58,2110.0,有效发票
287732,E304,5088621,2017/4/5,D17695,367.52,62.48,430.0,有效发票
287733,E304,4636487,2017/4/5,D26261,256.41,43.59,300.0,有效发票
287734,E304,5119228,2017/4/6,D08689,9059.82,1540.18,10600.0,有效发票
287735,E304,5119229,2017/4/6,D08689,7470.08,1269.92,8740.0,有效发票
287736,E304,5119230,2017/4/10,D17561,1070.94,182.06,1253.0,有效发票
